"","trip_id","direction_id","route_id","date_time","vehicle_id","segement","segement_name","segement_type","time_diff","ttl_diff","speed_avg","flag_peak","time_diff_pct"
"69","10907309__MCOB-DO:111:6:Sunday:1:23MAR:41043:1234567","south_bound",202,2023-05-21 17:21:39,11120,"636_537","4th_ramp","middle_middle",543,4545.50943084446,18.7256237278002,"PMPeak",0.384288747346072
"70","10907309__MCOB-DO:111:6:Sunday:1:23MAR:41043:1234567","south_bound",202,2023-05-21 17:12:36,11120,"657_636","grove_4th","middle_middle",136,1265.28797106903,20.8115309768476,"PMPeak",0.0962491153573956
"71","10907309__MCOB-DO:111:6:Sunday:1:23MAR:41043:1234567","south_bound",202,2023-05-21 17:10:20,11120,"689_657","88th_grove","middle_middle",161,1498.19475053463,20.8159364750431,"PMPeak",0.113941967445152
"72","10907309__MCOB-DO:111:6:Sunday:1:23MAR:41043:1234567","south_bound",202,2023-05-21 17:07:39,11120,"712_689","100th_88th","end_middle",154,1160.60087805819,16.8583758815583,"PMPeak",0.10898796886058
"73","10907508__MCOB-DO:111:6:Sunday:1:23MAR:41023:1234567","north_bound",201,2023-05-21 08:52:16,15106,"459_712","Hewitt_100th","end_end",1263,12330.5665545423,21.8390247238731,"AMPeak",1
"74","10907508__MCOB-DO:111:6:Sunday:1:23MAR:41023:1234567","north_bound",201,2023-05-21 08:34:43,15106,"482_459","23rd_Hewitt","middle_end",210,1044.79293477637,11.1292139445091,"AMPeak",0.166270783847981
"75","10907508__MCOB-DO:111:6:Sunday:1:23MAR:41023:1234567","north_bound",201,2023-05-21 08:35:43,15106,"497_482","18th_23rd","middle_middle",60,798.503544222347,29.770022069976,"AMPeak",0.0475059382422803
"76","10907508__MCOB-DO:111:6:Sunday:1:23MAR:41023:1234567","north_bound",201,2023-05-21 08:39:14,15106,"537_509","ramp_14th","middle_middle",121,1162.38399155295,21.4890793101527,"AMPeak",0.0958036421219319
"77","10907508__MCOB-DO:111:6:Sunday:1:23MAR:41023:1234567","north_bound",201,2023-05-21 08:44:14,15106,"636_537","4th_ramp","middle_middle",300,4778.68621417909,35.6320507506697,"AMPeak",0.237529691211401
"78","10907508__MCOB-DO:111:6:Sunday:1:23MAR:41023:1234567","north_bound",201,2023-05-21 08:46:45,15106,"657_636","grove_4th","middle_middle",151,1074.6413926463,15.9198941609314,"AMPeak",0.119556611243072
"79","10907508__MCOB-DO:111:6:Sunday:1:23MAR:41023:1234567","north_bound",201,2023-05-21 08:49:45,15106,"689_657","88th_grove","middle_middle",180,1401.30417656373,17.414598663921,"AMPeak",0.142517814726841
"80","10907508__MCOB-DO:111:6:Sunday:1:23MAR:41023:1234567","north_bound",201,2023-05-21 08:52:16,15106,"712_689","100th_88th","end_middle",151,1375.23006495092,20.3728585468282,"AMPeak",0.119556611243072
"81","10907517__MCOB-DO:111:6:Sunday:1:23MAR:41034:1234567","north_bound",201,2023-05-21 16:46:18,19123,"459_712","Hewitt_100th","end_end",1022,12083.8571065727,26.4489383371314,"PMPeak",1
"82","10907517__MCOB-DO:111:6:Sunday:1:23MAR:41034:1234567","north_bound",201,2023-05-21 16:30:16,19123,"482_459","23rd_Hewitt","middle_end",60,803.948298253162,29.9730148416872,"PMPeak",0.0587084148727984
